,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,date,year,month,day
52,53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,2022-01-13,2022,1,13
53,54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month,2022-06-30,2022,6,30
54,55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,2023-04-20,2023,4,20
55,56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet,1 Month,2022-03-15,2022,3,15
56,57,Basic,10,01-10-22,25-06-23,Brazil,46,Female,Laptop,1 Month,2022-01-10,2022,1,10
57,58,Standard,12,08-10-21,24-06-23,Mexico,34,Male,Smartphone,1 Month,2021-08-10,2021,8,10
58,59,Premium,15,03-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,2022-03-12,2022,3,12
59,60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month,2023-06-14,2023,6,14
60,61,Premium,15,08-02-23,22-06-23,United States,28,Female,Laptop,1 Month,2023-08-02,2023,8,2
61,62,Basic,10,03-08-22,28-06-23,Canada,37,Male,Smartphone,1 Month,2022-03-08,2022,3,8
62,63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month,2022-02-23,2022,2,23
63,64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month,2022-06-20,2022,6,20
64,65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,2023-03-29,2023,3,29
65,66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month,2022-01-30,2022,1,30
66,67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,2022-09-18,2022,9,18
67,68,Standard,12,09-11-21,24-06-23,Mexico,33,Male,Tablet,1 Month,2021-09-11,2021,9,11
68,69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,2022-12-23,2022,12,23
69,70,Basic,10,08-05-23,22-06-23,Italy,41,Male,Smartphone,1 Month,2023-08-05,2023,8,5
70,71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month,2022-01-26,2022,1,26
71,72,Basic,10,11-10-22,22-06-23,Canada,31,Female,Smartphone,1 Month,2022-11-10,2022,11,10
72,73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month,2022-09-27,2022,9,27
73,74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month,2022-12-14,2022,12,14
74,75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month,2022-05-28,2022,5,28
75,76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop,1 Month,2021-12-29,2021,12,29
76,77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month,2022-12-25,2022,12,25
77,78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month,2022-11-18,2022,11,18
78,79,Standard,15,03-12-22,25-06-23,Spain,43,Female,Laptop,1 Month,2022-03-12,2022,3,12
79,80,Basic,12,08-11-22,22-06-23,Italy,43,Male,Tablet,1 Month,2022-08-11,2022,8,11
80,81,Premium,10,11-01-23,24-06-23,United States,37,Male,Tablet,1 Month,2023-11-01,2023,11,1
81,82,Standard,12,07-12-22,28-06-23,Canada,35,Male,Laptop,1 Month,2022-07-12,2022,7,12
82,83,Basic,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month,2022-10-20,2022,10,20
83,84,Standard,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month,2023-04-13,2023,4,13
84,85,Premium,10,06-04-23,27-06-23,Germany,37,Female,Laptop,1 Month,2023-06-04,2023,6,4
85,86,Basic,11,04-03-22,25-06-23,France,29,Female,Smartphone,1 Month,2022-04-03,2022,4,3
86,87,Premium,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month,2021-12-28,2021,12,28
87,88,Standard,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month,2022-09-27,2022,9,27
88,89,Basic,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month,2022-10-20,2022,10,20
89,90,Standard,13,03-02-23,23-06-23,Italy,49,Female,Smartphone,1 Month,2023-03-02,2023,3,2
90,91,Premium,11,03-10-22,23-06-23,United States,39,Male,Tablet,1 Month,2022-03-10,2022,3,10
91,92,Basic,14,05-01-22,28-06-23,Canada,39,Male,Smart TV,1 Month,2022-05-01,2022,5,1
92,93,Standard,12,05-02-22,26-06-23,United Kingdom,35,Male,Smartphone,1 Month,2022-05-02,2022,5,2
93,94,Premium,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month,2022-03-19,2022,3,19
94,95,Basic,11,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month,2022-02-28,2022,2,28
95,96,Premium,14,26-07-22,24-06-23,France,32,Male,Laptop,1 Month,2022-07-26,2022,7,26
96,97,Basic,10,05-03-22,24-06-23,Brazil,29,Female,Tablet,1 Month,2022-05-03,2022,5,3
97,98,Standard,13,07-03-22,28-06-23,Mexico,31,Female,Tablet,1 Month,2022-07-03,2022,7,3
98,99,Standard,12,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month,2023-01-13,2023,1,13
99,100,Basic,12,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month,2023-01-22,2023,1,22
100,101,Premium,11,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month,2022-10-17,2022,10,17
101,102,Basic,12,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month,2022-03-29,2022,3,29
102,103,Standard,13,04-04-22,26-06-23,United Kingdom,36,Male,Laptop,1 Month,2022-04-04,2022,4,4
103,104,Premium,10,08-06-22,25-06-23,Australia,38,Male,Laptop,1 Month,2022-08-06,2022,8,6
104,105,Basic,11,04-03-22,27-06-23,Germany,46,Female,Laptop,1 Month,2022-04-03,2022,4,3
105,106,Premium,10,18-03-22,24-06-23,France,49,Female,Tablet,1 Month,2022-03-18,2022,3,18
106,107,Basic,14,07-03-22,24-06-23,Brazil,29,Female,Smart TV,1 Month,2022-07-03,2022,7,3
107,108,Standard,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month,2022-05-24,2022,5,24
108,109,Standard,13,08-02-23,25-06-23,Spain,35,Female,Tablet,1 Month,2023-08-02,2023,8,2
109,110,Basic,13,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month,2023-01-26,2023,1,26
110,111,Premium,14,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month,2022-07-14,2022,7,14
111,112,Basic,10,01-06-22,28-06-23,Canada,33,Female,Laptop,1 Month,2022-01-06,2022,1,6
112,113,Standard,15,07-05-22,26-06-23,United Kingdom,37,Male,Tablet,1 Month,2022-07-05,2022,7,5
113,114,Premium,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month,2022-11-18,2022,11,18
114,115,Basic,11,05-04-22,25-06-23,Germany,50,Female,Laptop,1 Month,2022-05-04,2022,5,4
115,116,Premium,14,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month,2022-05-19,2022,5,19
116,117,Basic,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month,2021-10-30,2021,10,30
117,118,Standard,12,07-08-22,27-06-23,Mexico,33,Male,Smartphone,1 Month,2022-07-08,2022,7,8
118,119,Standard,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month,2022-09-20,2022,9,20
119,120,Basic,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month,2022-10-18,2022,10,18
120,121,Premium,15,03-10-22,24-06-23,United States,27,Male,Smart TV,1 Month,2022-03-10,2022,3,10
121,122,Basic,11,03-05-22,28-06-23,Canada,51,Male,Smart TV,1 Month,2022-03-05,2022,3,5
122,123,Standard,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month,2022-05-25,2022,5,25
123,124,Premium,15,05-11-22,25-06-23,Australia,43,Male,Laptop,1 Month,2022-05-11,2022,5,11
124,125,Basic,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month,2022-08-21,2022,8,21
125,126,Premium,13,21-09-22,23-06-23,France,45,Male,Laptop,1 Month,2022-09-21,2022,9,21
126,127,Basic,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month,2021-11-23,2021,11,23
127,128,Standard,12,06-10-22,27-06-23,Mexico,48,Male,Smartphone,1 Month,2022-06-10,2022,6,10
128,129,Standard,13,05-11-22,23-06-23,Spain,38,Male,Smart TV,1 Month,2022-05-11,2022,5,11
129,130,Basic,14,07-01-23,23-06-23,Italy,43,Female,Tablet,1 Month,2023-07-01,2023,7,1
130,131,Premium,15,06-10-22,23-06-23,United States,47,Male,Laptop,1 Month,2022-06-10,2022,6,10
131,132,Basic,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month,2022-06-24,2022,6,24
132,133,Standard,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month,2022-06-24,2022,6,24
133,134,Premium,15,05-11-22,25-06-23,Australia,32,Male,Tablet,1 Month,2022-05-11,2022,5,11
134,135,Basic,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month,2022-07-18,2022,7,18
135,136,Premium,12,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month,2022-09-13,2022,9,13
136,137,Basic,12,10-08-22,22-06-23,Brazil,49,Male,Laptop,1 Month,2022-10-08,2022,10,8
137,138,Standard,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month,2022-09-21,2022,9,21
138,139,Standard,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month,2023-03-24,2023,3,24
139,140,Basic,12,02-05-22,23-06-23,Italy,43,Female,Smartphone,1 Month,2022-02-05,2022,2,5
140,141,Premium,12,11-05-22,27-06-23,United States,42,Male,Smartphone,1 Month,2022-11-05,2022,11,5
141,142,Basic,14,10-06-22,22-06-23,Canada,28,Male,Smart TV,1 Month,2022-10-06,2022,10,6
142,143,Standard,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month,2022-08-31,2022,8,31
143,144,Premium,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month,2022-08-17,2022,8,17
144,145,Basic,11,05-05-22,26-06-23,Germany,35,Female,Laptop,1 Month,2022-05-05,2022,5,5
145,146,Basic,10,06-10-22,25-06-23,France,38,Male,Tablet,1 Month,2022-06-10,2022,6,10
146,147,Basic,12,08-11-22,24-06-23,Brazil,49,Female,Laptop,1 Month,2022-08-11,2022,8,11
147,148,Standard,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month,2022-11-27,2022,11,27
148,149,Premium,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month,2022-11-17,2022,11,17
149,150,Basic,10,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month,2022-12-15,2022,12,15
150,151,Basic,15,12-12-22,25-06-23,United States,30,Female,Laptop,1 Month,2022-12-12,2022,12,12
151,152,Premium,14,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month,2022-11-23,2022,11,23
152,153,Standard,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month,2022-12-25,2022,12,25
153,154,Standard,11,11-03-23,27-06-23,Australia,27,Male,Laptop,1 Month,2023-11-03,2023,11,3
154,155,Basic,14,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month,2022-11-18,2022,11,18
155,156,Premium,15,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month,2022-08-19,2022,8,19
156,157,Standard,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month,2022-09-27,2022,9,27
157,158,Basic,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month,2022-10-19,2022,10,19
158,159,Standard,10,21-12-22,26-06-23,Spain,51,Female,Smart TV,1 Month,2022-12-21,2022,12,21
159,160,Premium,15,27-10-22,25-06-23,Italy,39,Male,Smartphone,1 Month,2022-10-27,2022,10,27
160,161,Basic,10,23-10-22,24-06-23,United States,45,Male,Tablet,1 Month,2022-10-23,2022,10,23
161,162,Premium,15,19-04-22,25-06-23,Canada,31,Male,Laptop,1 Month,2022-04-19,2022,4,19
162,163,Standard,11,05-04-22,26-06-23,United Kingdom,29,Male,Laptop,1 Month,2022-05-04,2022,5,4
163,164,Basic,11,11-03-22,26-06-23,Australia,42,Female,Tablet,1 Month,2022-11-03,2022,11,3
164,165,Standard,14,25-05-22,25-06-23,Germany,49,Male,Tablet,1 Month,2022-05-25,2022,5,25
165,166,Premium,13,16-04-22,26-06-23,France,42,Male,Laptop,1 Month,2022-04-16,2022,4,16
166,167,Basic,13,07-04-22,24-06-23,Brazil,29,Male,Smartphone,1 Month,2022-07-04,2022,7,4
167,168,Standard,10,11-12-22,28-06-23,Mexico,29,Male,Tablet,1 Month,2022-11-12,2022,11,12
168,169,Premium,12,20-01-23,26-06-23,Spain,49,Male,Tablet,1 Month,2023-01-20,2023,1,20
169,170,Basic,14,12-01-23,25-06-23,Italy,32,Male,Laptop,1 Month,2023-12-01,2023,12,1
170,171,Premium,11,29-04-22,24-06-23,United States,35,Female,Tablet,1 Month,2022-04-29,2022,4,29
171,172,Basic,12,27-04-22,26-06-23,Canada,39,Female,Smartphone,1 Month,2022-04-27,2022,4,27
172,173,Standard,15,03-06-22,25-06-23,United Kingdom,40,Male,Smartphone,1 Month,2022-03-06,2022,3,6
173,174,Standard,14,23-04-22,25-06-23,Australia,39,Female,Tablet,1 Month,2022-04-23,2022,4,23
174,175,Basic,10,22-04-22,26-06-23,Germany,47,Female,Laptop,1 Month,2022-04-22,2022,4,22
175,176,Premium,13,12-04-22,25-06-23,France,37,Female,Smart TV,1 Month,2022-12-04,2022,12,4
176,177,Basic,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone,1 Month,2022-05-23,2022,5,23
177,178,Standard,13,19-10-22,26-06-23,Mexico,49,Female,Laptop,1 Month,2022-10-19,2022,10,19
178,179,Premium,10,03-12-22,26-06-23,Spain,30,Female,Tablet,1 Month,2022-03-12,2022,3,12
179,180,Basic,14,26-09-22,25-06-23,Italy,36,Male,Laptop,1 Month,2022-09-26,2022,9,26
180,181,Premium,15,16-06-22,27-06-23,United States,33,Male,Smartphone,1 Month,2022-06-16,2022,6,16
181,182,Basic,13,16-05-22,25-06-23,Canada,30,Female,Laptop,1 Month,2022-05-16,2022,5,16
182,183,Standard,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,1 Month,2022-05-26,2022,5,26
183,184,Standard,13,26-04-22,25-06-23,Australia,28,Female,Laptop,1 Month,2022-04-26,2022,4,26
184,185,Basic,11,12-05-22,25-06-23,Germany,47,Female,Tablet,1 Month,2022-12-05,2022,12,5
185,186,Premium,12,01-03-22,25-06-23,France,33,Female,Smart TV,1 Month,2022-01-03,2022,1,3
186,187,Basic,13,10-07-22,24-06-23,Brazil,49,Female,Laptop,1 Month,2022-10-07,2022,10,7
187,188,Standard,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV,1 Month,2022-07-16,2022,7,16
188,189,Premium,13,02-09-22,26-06-23,Spain,47,Male,Smart TV,1 Month,2022-02-09,2022,2,9
189,190,Basic,11,18-09-22,26-06-23,Italy,37,Female,Tablet,1 Month,2022-09-18,2022,9,18
190,191,Premium,10,08-07-22,25-06-23,United States,46,Male,Laptop,1 Month,2022-08-07,2022,8,7
191,192,Basic,14,26-06-22,27-06-23,Canada,50,Female,Smartphone,1 Month,2022-06-26,2022,6,26
192,193,Standard,11,05-08-22,25-06-23,United Kingdom,50,Male,Laptop,1 Month,2022-05-08,2022,5,8
193,194,Standard,14,19-08-22,27-06-23,Australia,37,Male,Laptop,1 Month,2022-08-19,2022,8,19
194,195,Basic,11,26-08-22,24-06-23,Germany,50,Female,Smartphone,1 Month,2022-08-26,2022,8,26
195,196,Premium,13,09-06-22,24-06-23,France,45,Female,Smart TV,1 Month,2022-09-06,2022,9,6
196,197,Basic,14,27-09-22,23-06-23,Brazil,45,Male,Tablet,1 Month,2022-09-27,2022,9,27
197,198,Standard,10,18-10-22,27-06-23,Mexico,49,Female,Laptop,1 Month,2022-10-18,2022,10,18
198,199,Premium,14,31-10-22,25-06-23,Spain,39,Female,Tablet,1 Month,2022-10-31,2022,10,31
199,200,Basic,11,13-10-22,25-06-23,Italy,45,Female,Tablet,1 Month,2022-10-13,2022,10,13
200,201,Premium,11,04-07-22,27-06-23,United States,49,Female,Smart TV,1 Month,2022-04-07,2022,4,7
201,202,Basic,12,26-06-22,27-06-23,Canada,31,Female,Tablet,1 Month,2022-06-26,2022,6,26
202,203,Standard,13,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV,1 Month,2022-07-31,2022,7,31
203,204,Standard,12,27-07-22,24-06-23,Australia,37,Male,Smartphone,1 Month,2022-07-27,2022,7,27
204,205,Basic,12,30-07-22,25-06-23,Germany,30,Male,Smart TV,1 Month,2022-07-30,2022,7,30
205,206,Premium,11,06-08-22,25-06-23,France,40,Male,Smartphone,1 Month,2022-06-08,2022,6,8
206,207,Basic,15,16-09-22,24-06-23,Brazil,45,Female,Smartphone,1 Month,2022-09-16,2022,9,16
207,208,Standard,15,05-01-23,23-06-23,Mexico,36,Female,Tablet,1 Month,2023-05-01,2023,5,1
208,209,Premium,11,10-12-22,24-06-23,Spain,41,Male,Laptop,1 Month,2022-10-12,2022,10,12
209,210,Basic,14,22-11-22,26-06-23,Italy,49,Female,Laptop,1 Month,2022-11-22,2022,11,22
210,211,Premium,15,15-11-22,27-06-23,United States,40,Male,Tablet,1 Month,2022-11-15,2022,11,15
211,212,Basic,11,28-10-22,26-06-23,Canada,36,Male,Smart TV,1 Month,2022-10-28,2022,10,28
212,213,Standard,12,08-09-22,24-06-23,United Kingdom,49,Female,Smart TV,1 Month,2022-08-09,2022,8,9
213,214,Standard,13,30-06-22,28-06-23,Australia,43,Female,Laptop,1 Month,2022-06-30,2022,6,30
214,215,Basic,13,02-09-22,27-06-23,Germany,50,Female,Smartphone,1 Month,2022-02-09,2022,2,9
215,216,Premium,14,08-10-22,24-06-23,France,51,Female,Smart TV,1 Month,2022-08-10,2022,8,10
216,217,Basic,15,13-11-22,25-06-23,Brazil,44,Male,Smart TV,1 Month,2022-11-13,2022,11,13
217,218,Standard,12,15-11-22,28-06-23,Mexico,27,Male,Tablet,1 Month,2022-11-15,2022,11,15
218,219,Premium,12,16-11-22,25-06-23,Spain,46,Female,Smartphone,1 Month,2022-11-16,2022,11,16
219,220,Basic,12,26-11-22,27-06-23,Italy,29,Male,Tablet,1 Month,2022-11-26,2022,11,26
220,221,Basic,12,26-11-22,25-06-23,United States,47,Male,Smartphone,1 Month,2022-11-26,2022,11,26
221,222,Basic,10,12-12-22,26-06-23,Canada,48,Female,Smartphone,1 Month,2022-12-12,2022,12,12
222,223,Standard,12,08-01-23,25-06-23,United Kingdom,34,Female,Smartphone,1 Month,2023-08-01,2023,8,1
223,224,Premium,15,27-11-22,29-06-23,Australia,40,Female,Smartphone,1 Month,2022-11-27,2022,11,27
224,225,Basic,14,11-10-22,27-06-23,Germany,48,Female,Smartphone,1 Month,2022-11-10,2022,11,10
225,226,Basic,10,27-09-22,26-06-23,France,35,Male,Smartphone,1 Month,2022-09-27,2022,9,27
226,227,Premium,12,30-09-22,24-06-23,Brazil,51,Female,Smartphone,1 Month,2022-09-30,2022,9,30
227,228,Standard,10,04-11-22,27-06-23,Mexico,39,Male,Smart TV,1 Month,2022-04-11,2022,4,11
228,229,Standard,13,04-11-22,27-06-23,Spain,29,Male,Smartphone,1 Month,2022-04-11,2022,4,11
229,230,Basic,12,30-10-22,26-06-23,Italy,51,Male,Laptop,1 Month,2022-10-30,2022,10,30
230,231,Premium,11,29-10-22,24-06-23,United States,43,Male,Smartphone,1 Month,2022-10-29,2022,10,29
231,232,Standard,11,30-08-22,27-06-23,Canada,28,Male,Smartphone,1 Month,2022-08-30,2022,8,30
232,233,Basic,15,07-07-22,26-06-23,United Kingdom,50,Female,Smart TV,1 Month,2022-07-07,2022,7,7
233,234,Standard,14,26-05-22,27-06-23,Australia,44,Female,Laptop,1 Month,2022-05-26,2022,5,26
234,235,Premium,11,17-05-22,25-06-23,Germany,50,Male,Laptop,1 Month,2022-05-17,2022,5,17
235,236,Basic,11,08-05-22,26-06-23,France,39,Female,Smartphone,1 Month,2022-08-05,2022,8,5
236,237,Premium,13,07-07-22,25-06-23,Brazil,46,Female,Tablet,1 Month,2022-07-07,2022,7,7
237,238,Standard,15,17-07-22,28-06-23,Mexico,48,Male,Smartphone,1 Month,2022-07-17,2022,7,17
238,239,Basic,15,23-12-22,26-06-23,Spain,38,Male,Smart TV,1 Month,2022-12-23,2022,12,23
239,240,Standard,13,27-06-22,26-06-23,Italy,38,Male,Smartphone,1 Month,2022-06-27,2022,6,27
240,241,Premium,13,31-05-22,27-06-23,United States,47,Male,Laptop,1 Month,2022-05-31,2022,5,31
241,242,Basic,12,02-06-22,26-06-23,Canada,37,Male,Laptop,1 Month,2022-02-06,2022,2,6
242,243,Standard,11,25-05-22,27-06-23,United Kingdom,33,Male,Laptop,1 Month,2022-05-25,2022,5,25
243,244,Premium,15,26-04-22,26-06-23,Australia,28,Male,Smartphone,1 Month,2022-04-26,2022,4,26
244,245,Basic,13,20-04-22,26-06-23,Germany,47,Male,Smart TV,1 Month,2022-04-20,2022,4,20
245,246,Premium,11,03-05-22,25-06-23,France,38,Female,Smartphone,1 Month,2022-03-05,2022,3,5
246,247,Basic,12,07-07-22,27-06-23,Brazil,27,Male,Smart TV,1 Month,2022-07-07,2022,7,7
247,248,Standard,13,15-09-22,26-06-23,Mexico,34,Male,Smartphone,1 Month,2022-09-15,2022,9,15
248,249,Standard,14,16-09-22,27-06-23,Spain,42,Female,Smartphone,1 Month,2022-09-16,2022,9,16
